Old URL,New URL
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=2,http://cayuseshop.com/western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=3,http://cayuseshop.com/english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=4,http://cayuseshop.com/western-english-footwear-apparel
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=5,http://cayuseshop.com/stable supplies
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=180,http://cayuseshop.com/jewelry-and-collectibles
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=182,http://cayuseshop.com/barrel racer
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=7&Itemid=2,http://cayuseshop.com/saddles-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=20&Itemid=2,http://cayuseshop.com/bits-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=26&Itemid=2,http://cayuseshop.com/saddle-pads-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=35&Itemid=2,http://cayuseshop.com/spurs-straps
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=30&Itemid=2,http://cayuseshop.com/reins-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=19&Itemid=2,http://cayuseshop.com/headstall-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=172&Itemid=2,http://cayuseshop.com/leg-protection
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=50&Itemid=2,http://cayuseshop.com/back-cinch-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=18&Itemid=2,http://cayuseshop.com/breast-collars-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=33&Itemid=2,http://cayuseshop.com/tie downs-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=8&Itemid=2,http://cayuseshop.com/saddles-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=15&Itemid=2,http://cayuseshop.com/footwear-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=16&Itemid=2,http://cayuseshop.com/helmets
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=51&Itemid=2,http://cayuseshop.com/bits-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=55&Itemid=2,http://cayuseshop.com/saddle-pads-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=61&Itemid=2,http://cayuseshop.com/spurs-straps-enlgish
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=41&Itemid=2,http://cayuseshop.com/protective-boots-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=54&Itemid=2,http://cayuseshop.com/bridles-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=57&Itemid=2,http://cayuseshop.com/girths-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=59&Itemid=2,http://cayuseshop.com/reins-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=56&Itemid=2,http://cayuseshop.com/martingales-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=58&Itemid=2,http://cayuseshop.com/irons-leathers-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=201&Itemid=2,http://cayuseshop.com/apparel-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=10&Itemid=2&vmcchk=1&Itemid=2,http://cayuseshop.com/cowboy-hat-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=65&Itemid=2,http://cayuseshop.com/kids-apparel-english
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=40&Itemid=2,http://cayuseshop.com/boots-womens-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=42&Itemid=2,http://cayuseshop.com/boots-mens-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=43&Itemid=2,http://cayuseshop.com/boots-kids-western
http://www.cayuseshop.com/index.php?option=com_virtuemart&page=shop.browse&category_id=64&Itemid=2&vmcchk=1&Itemid=2,http://cayuseshop.com/apparel-english-womens
